MSA,Pop_Total,Median_Rent,Median_Income,Median_Home_Value,wiki_url,wiki_thumb_url,Name
10100,42292,752,70693,195700,"https://en.wikipedia.org/wiki/Aberdeen,_South_Dakota","https://en.wikipedia.org/wiki/Aberdeen,_South_Dakota#/media/File:Aberdeen_Federal_Building.jpg","Aberdeen, SD"
10140,75672,943,59105,249900,"https://en.wikipedia.org/wiki/Aberdeen,_Washington","https://en.wikipedia.org/wiki/Aberdeen,_Washington#/media/File:Aberdeen%2C_WA_-_Downtown_%26_Wishkah_River_from_Rt_101.jpg","Aberdeen, WA"
10180,176656,1050,61924,158300,"https://en.wikipedia.org/wiki/Abilene,_Texas","https://en.wikipedia.org/wiki/Abilene,_Texas#/media/File:Taylor_County_Abilene.svg","Abilene, TX"
10220,38116,847,59457,151500,"https://en.wikipedia.org/wiki/Ada,_Oklahoma","https://en.wikipedia.org/wiki/Ada,_Oklahoma#/media/File:OKMap-doton-Ada.PNG","Ada, OK"
10300,99263,924,65484,168100,"https://en.wikipedia.org/wiki/Adrian,_Michigan","https://en.wikipedia.org/wiki/Adrian,_Michigan#/media/File:Downtown_Adrian%2C_MI_2023.jpg","Adrian, MI"
10380,308919,476,19455,109300,"https://en.wikipedia.org/wiki/Aguadilla,_Puerto_Rico","https://en.wikipedia.org/wiki/Aguadilla,_Puerto_Rico#/media/File:Aguadilla_Pueblo.jpg","Aguadilla-Isabela, PR"
10420,700578,962,68647,185800,"https://en.wikipedia.org/wiki/Akron,_Ohio","https://en.wikipedia.org/wiki/Akron,_Ohio#/media/File:AkronArtmues.jpg","Akron, OH"
10460,67850,882,50833,139100,"https://en.wikipedia.org/wiki/Alamogordo,_New_Mexico","https://en.wikipedia.org/wiki/Alamogordo,_New_Mexico#/media/File:Jim_Griggs_Sports_Complex.JPG","Alamogordo, NM"
10500,147716,912,53173,139900,"https://en.wikipedia.org/wiki/Albany,_Georgia","https://en.wikipedia.org/wiki/Albany,_Georgia#/media/File:Albany_Railroad_Historic_District_Buildings.JPG","Albany, GA"
10540,128598,1160,69523,319800,"https://en.wikipedia.org/wiki/Linn_County,_Oregon","https://en.wikipedia.org/wiki/Linn_County,_Oregon#/media/File:Albany%2C_Oregon_-_Linn_County_Courthouse_01.jpg","Albany-Lebanon, OR"
10580,901729,1181,83360,254100,https://en.wikipedia.org/wiki/Capital_District_(New_York),https://en.wikipedia.org/wiki/Capital_District_(New_York)#/media/File:CDMontage.png,"Albany-Schenectady-Troy, NY"
10620,62723,816,60634,190700,"https://en.wikipedia.org/wiki/Albemarle,_North_Carolina","https://en.wikipedia.org/wiki/Albemarle,_North_Carolina#/media/File:Albemarle_NC_1.jpg","Albemarle, NC"
10660,30857,803,65679,154700,"https://en.wikipedia.org/wiki/Albert_Lea,_Minnesota","https://en.wikipedia.org/wiki/Albert_Lea,_Minnesota#/media/File:AlbertLeaMNdowntown.JPG","Albert Lea, MN"
10700,97923,746,58272,165600,"https://en.wikipedia.org/wiki/Albertville,_Alabama","https://en.wikipedia.org/wiki/Albertville,_Alabama#/media/File:Albertville%2C_Alabama.JPG","Albertville, AL"
10740,915968,1035,63971,242600,"https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico","https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico#/media/File:Abqdowntown.jpg","Albuquerque, NM"
10760,51580,698,53054,122900,"https://en.wikipedia.org/wiki/Alexander_City,_Alabama","https://en.wikipedia.org/wiki/Alexander_City,_Alabama#/media/File:Alexander_City_Alabama.JPG","Alexander City, AL"
10780,151721,922,55650,166300,"https://en.wikipedia.org/wiki/Alexandria,_Louisiana","https://en.wikipedia.org/wiki/Alexandria,_Louisiana#/media/File:Rapides_Parish_Louisiana_Incorporated_and_Unincorporated_areas_Alexandria_Highlighted.svg","Alexandria, LA"
10820,39081,847,72472,277800,"https://en.wikipedia.org/wiki/Alexandria,_Minnesota","https://en.wikipedia.org/wiki/Alexandria,_Minnesota#/media/File:Alexandria_Post_Office.jpg","Alexandria, MN"
